region,combination,player_games,regional_player_game_share_pct,prevalence_rank,placing,observations,mean_rating_change
kr,R1 / GM+1,732,13.113579362235757,3,2,163,21.834355828220858
kr,R1 / GM+1,732,13.113579362235757,3,3,104,-4.163461538461538
kr,R1 / GM+1,732,13.113579362235757,3,4,89,-28.471910112359552
kr,R1 / GM+1,732,13.113579362235757,3,5,91,-57.76923076923077
kr,R1 / GM+1,732,13.113579362235757,3,6,87,-77.80459770114942
kr,R2 / GM+1,603,10.802579720530275,5,1,263,25.950570342205324
kr,R2 / GM+1,603,10.802579720530275,5,2,106,7.650943396226415
kr,R2 / GM+1,603,10.802579720530275,5,3,99,-6.878787878787879
kr,R2 / GM+1,603,10.802579720530275,5,4,55,-27.436363636363637
kr,R2 / GM+1,603,10.802579720530275,5,5,43,-49.13953488372093
kr,R2 / GM+1,603,10.802579720530275,5,6,37,-57.78378378378378
kr,R2 / GM+2,1352,24.220709423145827,1,1,753,41.29482071713147
kr,R2 / GM+2,1352,24.220709423145827,1,2,279,3.7240143369175627
kr,R2 / GM+2,1352,24.220709423145827,1,3,136,-29.595588235294116
kr,R2 / GM+2,1352,24.220709423145827,1,4,95,-68.48421052631579
kr,R2 / GM+2,1352,24.220709423145827,1,5,53,-106.88679245283019
kr,R2 / GM+2,1352,24.220709423145827,1,6,36,-146.16666666666666
